% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
18509	10	1	1	0	28	2196	0	1	0
18510	10	1	1	0	28	2196	0	1	0
18511	10	1	1	0	28	2196	0	1	0
18512	10	1	1	0	28	2196	0	1	0
18513	10	1	1	0	28	2196	0	1	0
18514	10	1	1	0	28	2196	0	1	0
18515	10	1	1	0	28	2196	0	1	0
18516	10	1	1	0	28	2196	0	1	0
18521	10	1	1	0	28	2196	0	1	0
18522	10	1	1	0	28	2196	0	1	0
18523	10	1	1	0	28	2196	0	1	0
18524	10	1	1	0	28	2196	0	1	0
18525	10	1	1	0	28	2196	0	1	0
18526	10	1	1	0	28	2196	0	1	0
18527	10	1	1	0	28	2196	0	1	0
18528	10	1	1	0	28	2196	0	1	0
18535	10	1	1	0	28	2196	0	1	0
18536	10	1	1	0	28	2196	0	1	0
18537	10	1	1	0	28	2196	0	1	0
18538	10	1	1	0	28	2196	0	1	0
18540	10	1	1	0	28	2196	0	1	0
18541	10	1	1	0	28	2196	0	1	0
18542	10	1	1	0	28	2196	0	1	0
18543	10	1	1	0	28	2196	0	1	0
18544	10	1	1	0	28	2196	0	1	0
18545	10	1	1	0	28	2196	0	1	0
18547	10	1	1	0	28	2196	0	1	0
18549	10	1	1	0	28	2196	0	1	0
18550	10	1	1	0	28	2196	0	1	0
18551	10	1	1	0	28	2196	0	1	0
18553	10	1	1	0	28	2196	0	1	0
18555	10	1	1	0	28	2196	0	1	0
18556	10	1	1	0	28	2196	0	1	0
18557	10	1	1	0	28	2196	0	1	0
18559	10	1	1	0	28	2196	0	1	0
18560	10	1	1	0	28	2196	0	1	0
18561	10	1	1	0	28	2196	0	1	0
18562	10	1	1	0	28	2196	0	1	0
18563	10	1	1	0	28	2196	0	1	0
18567	10	1	1	0	28	2196	0	1	0
18568	10	1	1	0	28	2196	0	1	0
18569	10	1	1	0	28	2196	0	1	0
18570	10	1	1	0	28	2196	0	1	0
18571	10	1	1	0	28	2196	0	1	0
18572	10	1	1	0	28	2196	0	1	0
18573	10	1	1	0	28	2196	0	1	0
18574	10	1	1	0	28	2196	0	1	0
18575	10	1	1	0	28	2196	0	1	0
18577	10	1	1	0	28	2196	0	1	0
18578	10	1	1	0	28	2196	0	1	0
18580	10	1	1	0	28	2196	0	1	0
18581	10	1	1	0	28	2196	0	1	0
18582	10	1	1	0	28	2196	0	1	0
18584	10	1	1	0	28	2196	0	1	0
18585	10	1	1	0	28	2196	0	1	0
18586	10	1	1	0	28	2196	0	1	0
18589	10	1	1	0	28	2196	0	1	0
18590	10	1	1	0	28	2196	0	1	0
18592	10	1	1	0	28	2196	0	1	0
18593	10	1	1	0	28	2196	0	1	0
18594	10	1	1	0	28	2196	0	1	0
18595	10	1	1	0	28	2196	0	1	0
18596	10	1	1	0	28	2196	0	1	0
18598	10	1	1	0	28	2196	0	1	0
18602	10	1	1	0	28	2196	0	1	0
18603	10	1	1	0	28	2196	0	1	0
18604	10	1	1	0	28	2196	0	1	0
18605	10	1	1	0	28	2196	0	1	0
18606	10	1	1	0	28	2196	0	1	0
18607	10	1	1	0	28	2196	0	1	0
18608	10	1	1	0	28	2196	0	1	0
18609	10	1	1	0	28	2196	0	1	0
18610	10	1	1	0	28	2196	0	1	0
18611	10	1	1	0	28	2196	0	1	0
18622	10	1	1	0	28	2196	0	1	0
18623	10	1	1	0	28	2196	0	1	0
18630	10	1	1	0	28	2196	0	1	0
18631	10	1	1	0	28	2196	0	1	0
18632	10	1	1	0	28	2196	0	1	0
18633	10	1	1	0	28	2196	0	1	0
18634	10	1	1	0	28	2196	0	1	0
18635	10	1	1	0	28	2196	0	1	0
18636	10	1	1	0	28	2196	0	1	0
18637	10	1	1	0	28	2196	0	1	0
18638	10	1	1	0	28	2196	0	1	0
18639	10	1	1	0	28	2196	0	1	0
18640	10	1	1	0	28	2196	0	1	0
18641	10	1	1	0	28	2196	0	1	0
18645	10	1	1	0	28	2196	0	1	0
18646	10	1	1	0	28	2196	0	1	0
18647	10	1	1	0	28	2196	0	1	0
18648	10	1	1	0	28	2196	0	1	0
18649	10	1	1	0	28	2196	0	1	0
18651	10	1	1	0	28	2196	0	1	0
18652	10	1	1	0	28	2196	0	1	0
18653	10	1	1	0	28	2196	0	1	0
18655	10	1	1	0	28	2196	0	1	0
18657	10	1	1	0	28	2196	0	1	0
18658	10	1	1	0	28	2196	0	1	0
